transaction_id,amount,date,category,merchant,employee_id,fraud_flag,description,payment_method,currency,status,approval_required
TXN_000052,409.84,2025-02-04,hardware,Slack,EMP_035,0,Payment to Slack for hardware,cash,USD,failed,0
TXN_000053,1432.12,2025-01-13,subscription,Salesforce,EMP_081,0,Payment to Salesforce for subscription,bank_transfer,USD,pending,0
TXN_000054,327.78,2024-12-10,training,Amazon Web Services,EMP_012,0,Payment to Amazon Web Services for training,credit_card,USD,pending,0
TXN_000055,1036.72,2025-07-20,office_supplies,Monday.com,EMP_064,0,Payment to Monday.com for office_supplies,check,USD,pending,0
TXN_000056,1443.22,2025-01-14,consulting,Chipotle,EMP_059,0,Payment to Chipotle for consulting,bank_transfer,USD,completed,0
TXN_000057,1695.61,2025-04-30,utilities,Booking.com,EMP_065,0,Payment to Booking.com for utilities,check,USD,failed,0
TXN_000058,626.7,2024-11-26,advertising,Basecamp,EMP_020,0,Payment to Basecamp for advertising,check,USD,failed,0
TXN_000059,182.19,2024-12-14,conference,Airbnb,EMP_042,0,Payment to Airbnb for conference,bank_transfer,USD,failed,0
TXN_000060,598.77,2025-03-06,training,Facebook Ads,EMP_006,0,Payment to Facebook Ads for training,cash,USD,pending,0
TXN_000061,90.47,2024-10-14,office_supplies,Monday.com,EMP_064,0,Payment to Monday.com for office_supplies,check,USD,completed,0
TXN_000062,181.24,2025-02-05,conference,Adobe Creative Suite,EMP_002,0,Payment to Adobe Creative Suite for conference,bank_transfer,USD,completed,0
TXN_000063,3112.15,2025-01-21,utilities,TikTok Ads,EMP_080,0,Payment to TikTok Ads for utilities,check,USD,failed,0
TXN_000064,2498.05,2024-12-19,utilities,Airbnb,EMP_081,0,Payment to Airbnb for utilities,credit_card,USD,failed,0
TXN_000065,584.99,2025-08-14,insurance,Twitter Ads,EMP_030,0,Payment to Twitter Ads for insurance,credit_card,USD,failed,0
TXN_000066,417.52,2024-09-23,conference,Adobe Creative Suite,EMP_022,0,Payment to Adobe Creative Suite for conference,credit_card,USD,pending,0
TXN_000067,705.22,2025-08-21,meals,Lyft,EMP_048,0,Payment to Lyft for meals,cash,USD,failed,0
TXN_000068,6960.43,2024-10-04,software,Shopify,EMP_023,0,Payment to Shopify for software,bank_transfer,USD,pending,1
TXN_000069,997.22,2024-11-24,consulting,Stripe,EMP_060,0,Payment to Stripe for consulting,credit_card,USD,pending,0
TXN_000070,1651.99,2025-04-24,software,Best Buy,EMP_010,0,Payment to Best Buy for software,check,USD,failed,0
TXN_000071,543.24,2025-02-13,conference,TikTok Ads,EMP_039,0,Payment to TikTok Ads for conference,cash,USD,completed,0
TXN_000072,706.91,2025-05-20,meals,Airbnb,EMP_074,0,Payment to Airbnb for meals,credit_card,USD,failed,0
TXN_000073,770.59,2025-02-28,subscription,Uber,EMP_073,0,Payment to Uber for subscription,credit_card,USD,failed,0
TXN_000074,754.53,2025-01-07,consulting,Lyft,EMP_078,0,Payment to Lyft for consulting,bank_transfer,USD,failed,0
TXN_000075,99.75,2025-05-13,office_supplies,Basecamp,EMP_081,0,Payment to Basecamp for office_supplies,credit_card,USD,pending,0
TXN_000076,2393.57,2025-02-05,meals,Google Cloud,EMP_094,0,Payment to Google Cloud for meals,check,USD,failed,0
TXN_000077,359.55,2025-02-18,hardware,Shopify,EMP_017,0,Payment to Shopify for hardware,check,USD,failed,0
TXN_000078,5493.48,2025-01-05,software,Uber,EMP_033,0,Payment to Uber for software,check,USD,failed,1
TXN_000079,1321.93,2025-03-29,conference,Salesforce,EMP_010,0,Payment to Salesforce for conference,cash,USD,failed,0
TXN_000080,714.06,2025-03-15,entertainment,Notion,EMP_002,0,Payment to Notion for entertainment,check,USD,failed,0
TXN_000081,1032.08,2024-10-09,entertainment,TikTok Ads,EMP_082,0,Payment to TikTok Ads for entertainment,bank_transfer,USD,pending,0
TXN_000082,5572.13,2025-09-06,utilities,Trello,EMP_079,0,Payment to Trello for utilities,cash,USD,failed,1
TXN_000083,880.94,2025-04-17,training,Monday.com,EMP_015,0,Payment to Monday.com for training,check,USD,pending,0
TXN_000084,356.84,2025-07-21,consulting,Adobe Creative Suite,EMP_069,0,Payment to Adobe Creative Suite for consulting,cash,USD,failed,0
TXN_000085,6580.58,2025-07-01,payroll,Booking.com,EMP_063,0,Payment to Booking.com for payroll,check,USD,completed,1
TXN_000086,406.26,2024-09-30,hardware,Hilton,EMP_057,0,Payment to Hilton for hardware,check,USD,completed,0
TXN_000087,368.94,2024-10-02,meals,Hilton,EMP_008,0,Payment to Hilton for meals,credit_card,USD,pending,0
TXN_000088,1555.58,2025-08-03,hardware,Basecamp,EMP_083,0,Payment to Basecamp for hardware,credit_card,USD,pending,0
TXN_000089,950.53,2025-05-17,hardware,HubSpot,EMP_009,0,Payment to HubSpot for hardware,bank_transfer,USD,completed,0
TXN_000090,201.76,2025-04-03,subscription,Stripe,EMP_036,0,Payment to Stripe for subscription,bank_transfer,USD,failed,0
TXN_000091,19922.4,2025-05-13,payroll,Shopify,EMP_085,0,Payment to Shopify for payroll,check,USD,completed,1
TXN_000092,548.56,2024-11-21,subscription,United Airlines,EMP_023,0,Payment to United Airlines for subscription,cash,USD,failed,0
TXN_000093,1499.46,2025-07-22,advertising,Zoom,EMP_058,0,Payment to Zoom for advertising,credit_card,USD,pending,0
TXN_000094,2058.29,2025-01-04,travel,Facebook Ads,EMP_094,0,Payment to Facebook Ads for travel,check,USD,pending,0
TXN_000095,478.67,2024-10-24,travel,Microsoft Azure,EMP_062,0,Payment to Microsoft Azure for travel,credit_card,USD,pending,0
TXN_000096,1702.44,2024-09-19,marketing,McDonald's,EMP_011,0,Payment to McDonald's for marketing,bank_transfer,USD,pending,0
TXN_000097,1404.3,2024-11-03,utilities,Asana,EMP_049,0,Payment to Asana for utilities,cash,USD,failed,0
TXN_000098,14918.69,2024-11-13,payroll,Starbucks,EMP_090,0,Payment to Starbucks for payroll,bank_transfer,USD,pending,1
TXN_000099,651.38,2025-01-30,training,Facebook Ads,EMP_044,0,Payment to Facebook Ads for training,credit_card,USD,pending,0
TXN_000100,747.94,2025-02-12,legal,United Airlines,EMP_048,0,Payment to United Airlines for legal,cash,USD,completed,0
